,power(kW),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,month,weekday,day,tire_type_All-year tires,tire_type_Summer tires,tire_type_Winter tires,driving_style_Fast,driving_style_Moderate,driving_style_Normal,trip_distance(km)
165,88.0,13.29,1.0,1.0,1.0,14.454999999999984,0.0,0.0,1.0,3.0,17.0,0,1,0,0,1,0,91.7
166,111.0,0.8,1.0,0.0,0.0,15.449999999999985,0.0,0.0,6.0,4.0,28.0,0,1,0,0,1,0,4.0
167,85.0,3.4,1.0,1.0,1.0,16.704999999999984,0.0,0.0,10.0,4.0,20.0,0,1,0,0,1,0,20.0
168,85.0,0.3,1.0,0.0,0.0,15.099999999999984,0.0,0.0,11.0,4.0,3.0,0,1,0,0,1,0,2.0
169,80.0,15.58,0.0,1.0,0.0,13.699999999999983,0.0,1.0,4.0,6.0,19.0,0,1,0,0,0,1,71.0
170,49.0,14.32,1.0,1.0,1.0,12.899999999999984,0.0,0.0,6.0,1.0,25.0,0,1,0,0,0,1,123.5
171,85.0,14.85,0.0,1.0,0.0,14.049999999999985,0.0,0.0,2.0,5.0,10.0,0,0,1,0,0,1,90.0
172,85.0,17.15,1.0,1.0,1.0,14.949999999999985,0.0,0.0,5.0,2.0,2.0,0,1,0,0,0,1,128.0
173,88.0,1.17,1.0,0.0,0.0,11.889999999999986,0.0,0.0,5.0,1.0,19.0,0,1,0,0,1,0,11.3
174,111.0,10.9,1.0,0.0,0.0,14.779999999999987,0.0,0.0,10.0,1.0,2.0,1,0,0,0,0,1,60.7
175,80.0,0.2,0.0,0.0,0.0,22.589999999999986,0.0,0.0,11.0,6.0,17.0,1,0,0,0,0,1,0.8
176,111.0,0.5,1.0,1.0,1.0,13.469999999999986,0.0,1.0,11.0,1.0,29.0,0,0,1,0,0,1,53.0
177,111.0,9.1,1.0,0.0,1.0,7.259999999999986,0.0,0.0,9.0,3.0,10.0,0,1,0,0,0,1,67.0
178,88.0,2.85,0.0,0.0,0.0,18.279999999999987,0.0,0.0,10.0,6.0,3.0,1,0,0,0,0,1,12.4
179,132.0,21.97,1.0,1.0,1.0,21.489999999999988,0.0,0.0,6.0,5.0,12.0,0,1,0,0,1,0,115.0
