manufacturer,power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,trip_distance(km),month,weekday,day
Volkswagen,85,3.62,3,1,1,1,3,18.1,0,0,53.0,1.3,20.0,5,1,3
Volkswagen,85,14.19,3,0,1,0,2,12.0,0,1,47.0,-4.8,34.0,9,2,20
Volkswagen,85,3.54,3,1,1,1,2,17.7,0,0,43.0,0.9,20.0,8,4,21
Volkswagen,85,0.5,2,1,0,0,2,12.9,0,0,28.0,-3.9,4.0,1,6,21
Volkswagen,85,0.33,2,1,0,0,3,16.9,0,0,28.0,0.1,2.0,11,1,29
Volkswagen,85,1.81,2,1,0,1,2,12.1,0,0,41.0,-4.7,15.0,3,3,17
Volkswagen,85,2.12,3,0,1,0,3,15.0,0,0,61.0,-1.8,35.0,4,0,30
Volkswagen,85,10.31,3,0,1,0,2,11.5,0,0,74.0,-5.3,71.0,8,2,15
Volkswagen,85,7.81,2,0,1,0,2,12.3,0,0,74.0,-4.5,86.0,4,1,3
Volkswagen,85,14.91,3,0,1,0,2,11.8,0,0,74.0,-5.0,87.0,5,3,24
Volkswagen,85,0.11,3,1,0,0,3,11.7,0,0,15.0,-5.1,1.0,4,2,13
Volkswagen,85,1.6,3,1,1,1,2,8.4,0,0,52.0,-8.4,19.0,8,3,10
Volkswagen,85,10.5,2,0,0,1,3,16.2,0,0,48.0,-0.6,38.0,12,0,10
Volkswagen,85,16.12,3,0,1,1,3,12.6,0,0,58.0,-4.2,128.0,7,5,18
Volkswagen,85,1.82,2,1,1,1,3,9.1,0,0,45.0,-7.7,20.0,12,1,13
Volkswagen,85,3.6,2,1,1,1,2,17.8,0,0,51.0,1.0,20.0,4,1,18
Volkswagen,85,10.78,2,1,1,0,2,13.5,0,1,37.0,-3.3,70.0,11,2,8
Volkswagen,85,3.0,3,1,1,1,2,16.0,0,0,52.0,-0.8,19.0,7,4,27
Volkswagen,85,3.58,3,1,1,1,2,17.9,0,0,46.0,1.1,20.0,4,0,20
Volkswagen,85,3.92,3,1,1,1,3,19.6,0,1,47.0,2.8,20.0,10,2,14
Volkswagen,85,3.4,3,1,1,1,2,17.2,0,0,49.0,0.4,20.0,9,1,12
Volkswagen,85,6.06,3,0,1,0,3,14.2,0,1,80.0,-2.6,85.0,9,6,24
Volkswagen,85,3.78,2,1,1,1,3,18.9,0,0,45.0,2.1,20.0,12,0,19
Volkswagen,85,14.4,3,0,1,1,2,15.6,0,1,53.0,-1.2,32.0,10,6,29
Volkswagen,85,1.6,3,1,1,1,2,8.6,0,0,53.0,-8.2,19.0,9,0,11
Volkswagen,85,17.3,3,0,1,0,2,13.0,0,0,62.0,-3.8,85.0,4,1,24
Volkswagen,85,1.91,2,1,0,0,2,12.7,0,0,21.0,-4.1,15.0,3,6,29
Volkswagen,85,4.9,2,0,1,0,3,19.2,0,1,55.0,2.4,52.0,12,0,11
Volkswagen,85,13.02,3,0,1,0,1,16.4,0,0,76.0,-0.4,47.0,4,5,21
Volkswagen,85,3.4,3,1,1,1,2,17.2,0,0,41.0,0.4,20.0,8,0,28
Volkswagen,85,3.2,2,1,0,1,2,9.6,0,0,36.0,-7.2,33.0,11,3,9
Volkswagen,85,1.8,3,1,0,0,2,11.0,0,0,23.0,-5.8,16.0,7,6,23
Volkswagen,85,8.66,3,0,1,1,2,11.4,0,0,44.0,-5.4,76.0,9,0,14
Volkswagen,85,2.7,3,1,0,0,3,18.0,0,0,11.0,1.2,11.0,5,1,19
Volkswagen,85,3.4,2,1,1,1,2,17.0,0,0,54.0,0.2,20.0,4,4,21
