,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
7572,315.0,35.45,17933.0,3.0,1,1,0,2.0,46.64,0,0,31.84,76.0,5,6,27
10908,132.0,14.92,106547.0,3.0,1,0,0,2.0,14.28,0,0,-2.320000000000002,3.0,5,5,28
15208,49.0,7.51,147338.0,3.0,1,0,1,1.0,14.25,0,0,0.75,52.7,11,5,18
21614,49.0,6.88,110740.0,3.0,1,0,1,1.0,12.05,0,0,-1.4499999999999993,57.1,6,0,13
19733,49.0,8.41,54559.0,2.0,0,1,0,1.0,15.3,0,0,2.8000000000000007,55.8,12,1,7
16433,49.0,6.6,179104.0,2.0,1,0,1,1.0,13.47,0,0,-0.0299999999999993,49.0,3,0,18
17097,80.0,22.89,35555.0,3.0,0,1,0,1.0,13.3,0,1,-1.6999999999999993,116.0,4,0,20
3629,80.0,20.72,58918.0,2.0,1,0,1,2.0,16.0,0,1,1.0,103.0,3,3,25
25603,85.0,6.81,39135.0,2.0,0,1,0,2.0,15.6,0,1,2.9000000000000004,48.0,1,3,25
17600,35.0,4.9,26722.0,3.0,1,1,1,1.0,11.67,0,0,-0.8300000000000001,42.0,8,0,11
3926,49.0,8.8,110342.0,3.0,1,0,1,1.0,10.71,0,0,-2.789999999999999,113.2,6,3,2
10990,315.0,5.0,31225.0,3.0,1,1,0,2.0,25.0,0,0,10.2,20.0,10,6,7
21838,132.0,10.0,61590.0,3.0,1,1,1,1.0,19.33,0,0,2.729999999999997,59.0,5,0,20
1178,85.0,18.1,71334.0,3.0,0,1,0,2.0,10.7,0,0,-2.0,169.0,5,4,18
5833,88.0,14.34,42920.0,3.0,1,1,1,2.0,12.55,0,0,2.5732372740337426,114.3,1,2,15
8279,35.0,6.3,41348.0,2.0,1,0,1,3.0,18.0,0,1,5.5,35.0,3,0,30
24354,88.0,11.72,54803.0,2.0,0,1,1,2.0,15.5,1,1,2.5732372740337426,75.0,3,0,23
24971,35.0,7.2,79581.0,2.0,1,1,1,1.0,16.36,0,1,3.86,44.0,10,4,7
4593,49.0,4.49,91192.0,3.0,1,0,1,1.0,11.39,1,0,-2.1099999999999994,12.7,8,0,3
11594,49.0,13.56,53637.0,2.0,1,0,1,1.0,14.23,0,0,0.7300000000000004,98.0,12,1,3
14236,49.0,12.48,107677.0,3.0,1,0,1,1.0,12.48,0,0,-1.0199999999999996,100.0,4,4,29
9520,278.0,20.0,149216.0,3.0,1,0,1,1.0,21.56,0,0,5.459999999999997,127.0,8,0,8
17774,35.0,6.3,24269.0,3.0,1,1,1,3.0,15.37,0,0,2.869999999999999,41.0,7,2,9
2257,85.0,11.8,25244.0,3.0,0,1,0,2.0,13.6,0,1,0.9000000000000004,81.0,10,3,5
24405,85.0,6.26,43062.0,2.0,1,0,1,1.0,20.2,0,0,7.5,31.0,2,1,12
24787,278.0,28.0,97537.0,3.0,0,1,1,1.0,20.58,0,0,4.479999999999997,168.0,7,0,22
19379,35.0,6.2,90819.0,2.0,1,1,1,3.0,14.76,0,0,2.26,42.0,3,4,24
13585,88.0,19.46,73511.0,3.0,0,1,1,2.0,18.4,1,1,2.5732372740337426,99.0,10,0,5
12277,315.0,53.6,10838.0,2.0,1,1,0,2.0,21.79,0,0,6.989999999999998,246.0,3,6,11
9575,49.0,6.0,51286.0,3.0,0,0,1,3.0,15.23,0,0,2.7300000000000004,65.2,10,6,17
18240,88.0,16.35,26464.0,3.0,1,1,1,2.0,13.37,0,0,2.5732372740337426,122.3,2,1,26
4736,35.0,8.8,133670.0,2.0,1,1,1,1.0,13.33,0,0,0.8300000000000001,66.0,2,3,28
11015,49.0,6.65,19082.0,3.0,1,0,1,1.0,13.19,0,0,0.6899999999999995,46.5,5,1,12
1718,80.0,15.65,71416.0,2.0,1,0,1,2.0,21.43,0,1,6.43,93.0,2,5,5
11996,49.0,8.96,71345.0,3.0,1,0,1,1.0,13.08,0,0,0.5800000000000001,68.5,9,5,17
7068,35.0,6.1,59979.0,2.0,1,1,1,1.0,14.52,0,1,2.02,42.0,12,4,18
6384,80.0,13.69,72830.0,2.0,1,0,1,2.0,16.4,0,1,1.3999999999999986,49.0,3,1,15
5409,35.0,7.4,174075.0,2.0,1,1,1,1.0,17.21,0,1,4.710000000000001,43.0,2,1,9
4460,35.0,5.9,38193.0,2.0,1,0,1,1.0,17.35,0,1,4.850000000000001,34.0,2,2,18
25578,49.0,5.9,72017.0,3.0,1,0,1,1.0,10.83,0,0,-2.67,19.1,9,1,23
6699,35.0,5.6,122053.0,3.0,1,1,1,1.0,13.33,0,0,0.8300000000000001,42.0,9,0,3
21748,49.0,11.08,69027.0,3.0,1,0,1,1.0,10.84,0,0,-2.66,102.2,8,4,8
5991,49.0,11.22,139162.0,3.0,0,1,1,2.0,11.04,0,0,-2.460000000000001,66.7,8,3,3
11277,49.0,7.44,69977.0,3.0,1,1,1,1.0,12.45,0,0,-0.0500000000000007,98.0,8,5,27
25692,49.0,14.17,34169.0,2.0,1,0,1,1.0,13.93,0,0,0.4299999999999997,102.9,12,2,5
3120,132.0,1.8,86869.0,1.0,1,0,1,1.0,20.78,0,1,4.18,78.0,2,0,1
14559,132.0,26.62,65375.0,3.0,1,0,1,2.0,17.85,1,0,1.25,34.0,7,5,6
16383,35.0,6.9,64144.0,2.0,1,1,1,1.0,16.43,0,1,3.93,42.0,2,2,24
16222,49.0,5.72,18114.0,3.0,1,0,1,1.0,12.22,0,0,-0.2799999999999993,46.8,4,0,20
23306,88.0,5.54,15774.0,3.0,1,0,0,2.0,11.1,0,0,2.5732372740337426,49.9,9,6,9
10814,35.0,9.6,120103.0,3.0,1,0,1,3.0,13.91,1,0,1.41,69.0,7,6,22
4341,85.0,15.44,23226.0,3.0,0,1,0,2.0,11.3,0,0,-1.3999999999999986,34.0,9,3,21
11049,85.0,11.7,84821.0,2.0,0,1,1,2.0,15.9,0,1,3.200000000000001,79.0,3,5,16
23909,85.0,4.88,20607.0,3.0,1,0,1,1.0,14.8,1,1,2.1000000000000014,33.0,10,6,22
23492,49.0,7.45,149248.0,2.0,1,0,1,1.0,15.33,0,1,1.83,48.6,12,4,29
13298,315.0,62.0,5351.0,2.0,1,1,0,2.0,30.24,0,0,15.439999999999998,205.0,1,4,19
6222,49.0,1.6,163688.0,3.0,1,0,1,1.0,11.99,1,0,-1.5099999999999998,16.8,8,5,4
10980,278.0,10.0,102562.0,3.0,1,0,1,1.0,19.37,0,0,3.27,108.0,9,0,30
10853,35.0,5.3,26330.0,3.0,1,1,1,1.0,12.62,0,0,0.1199999999999992,42.0,8,1,5
13244,35.0,7.0,50059.0,3.0,1,1,1,1.0,13.21,0,0,0.7100000000000009,53.0,7,4,31
3656,49.0,2.57,163183.0,3.0,1,0,1,1.0,11.83,0,0,-1.67,16.9,7,4,27
24835,35.0,7.5,63622.0,2.0,1,1,1,3.0,17.86,0,1,5.359999999999999,42.0,2,2,17
321,35.0,5.0,180153.0,3.0,1,1,1,1.0,11.9,0,0,-0.5999999999999996,42.0,6,1,1
20969,88.0,4.22,85939.0,2.0,0,1,1,2.0,13.8,1,1,2.5732372740337426,3.0,2,3,18
