,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
8268,49.0,10.92,25646.0,3.0,1,0,1,1.0,11.04,0,0,-2.460000000000001,94.8,7,3,12
22872,278.0,24.0,15044.0,3.0,1,0,1,1.0,21.99,0,0,5.889999999999997,300.0,9,6,25
6949,85.0,2.56,114908.0,3.0,0,1,0,2.0,14.8,0,0,2.1000000000000014,19.0,10,4,4
9461,49.0,2.38,163738.0,3.0,1,1,1,1.0,11.99,1,0,-1.5099999999999998,49.2,8,5,4
17882,35.0,12.5,18677.0,3.0,1,0,1,1.0,24.04,0,1,11.54,52.0,4,5,19
1465,278.0,35.0,32750.0,3.0,0,1,0,1.0,20.4,0,0,4.299999999999997,220.0,5,0,22
17938,35.0,6.4,56740.0,2.0,1,1,1,1.0,15.24,0,1,2.74,42.0,11,2,11
9338,49.0,12.01,67160.0,3.0,1,0,1,1.0,10.95,0,0,-2.5500000000000007,109.7,7,0,7
10734,49.0,8.6,63156.0,3.0,1,1,1,1.0,12.15,0,0,-1.3499999999999996,92.0,5,5,17
7482,80.0,16.46,73422.0,2.0,1,0,1,2.0,20.8,0,1,5.800000000000001,88.0,3,3,31
20988,132.0,23.15,47786.0,3.0,1,1,1,1.0,17.49,0,0,0.889999999999997,154.0,9,5,22
16451,88.0,3.33,33649.0,3.0,1,0,0,2.0,10.34,0,0,2.338644558918237,32.2,7,6,21
17208,88.0,2.98,12033.0,3.0,0,0,0,2.0,10.89,0,0,2.338644558918237,27.4,6,0,4
20558,35.0,7.8,153158.0,2.0,1,1,1,1.0,18.14,0,1,5.640000000000001,43.0,1,1,14
20800,132.0,7.32,58472.0,1.0,1,0,1,1.0,19.81,0,1,3.2099999999999973,58.0,3,4,8
10398,49.0,6.73,153139.0,2.0,1,0,1,1.0,13.79,0,0,0.2899999999999991,48.8,3,1,27
10317,49.0,3.32,184543.0,3.0,1,1,1,3.0,15.51,0,0,2.01,21.4,6,1,4
6671,85.0,16.04,42244.0,2.0,0,1,0,2.0,16.7,0,1,4.0,88.0,2,2,14
9618,49.0,7.03,137996.0,3.0,1,1,1,1.0,11.88,0,0,-1.6199999999999992,66.5,7,5,22
16978,88.0,1.17,47877.0,3.0,1,0,0,2.0,10.38,0,0,2.338644558918237,11.3,7,0,13
13921,49.0,11.0,45678.0,3.0,1,0,1,1.0,11.53,0,0,-0.9700000000000006,95.4,8,4,20
7508,80.0,13.51,71008.0,2.0,1,0,1,2.0,25.95,0,1,10.95,54.0,1,3,27
2328,278.0,27.0,117951.0,3.0,0,1,0,1.0,19.03,0,0,2.93,96.0,6,1,23
22458,278.0,32.0,24711.0,2.0,0,1,1,3.0,35.56,0,0,19.46,90.0,2,1,14
6954,85.0,10.17,76340.0,3.0,0,1,0,1.0,13.9,0,1,1.200000000000001,100.0,10,1,16
8402,49.0,6.16,120176.0,3.0,1,0,1,1.0,12.89,0,0,-0.6099999999999994,47.8,10,3,20
8973,49.0,5.72,161054.0,3.0,1,1,1,1.0,11.74,0,0,-1.7599999999999998,49.9,7,6,1
18626,35.0,5.6,165789.0,3.0,1,1,1,1.0,11.91,0,0,-0.5899999999999999,47.0,9,1,15
9246,49.0,10.48,116612.0,3.0,1,0,0,1.0,11.44,0,0,-2.0600000000000005,5.6,9,3,8
14107,49.0,5.7,30067.0,3.0,1,0,1,1.0,12.13,0,0,-0.3699999999999992,47.0,11,1,3
19627,35.0,8.3,154098.0,2.0,1,1,1,1.0,19.3,0,1,6.800000000000001,43.0,1,1,28
9287,49.0,2.6,131678.0,3.0,1,0,0,1.0,11.24,0,0,-2.26,2.0,4,6,30
22639,278.0,7.0,127705.0,2.0,1,0,1,1.0,27.0,0,0,10.9,44.0,12,1,29
1501,278.0,30.0,84955.0,2.0,0,1,0,1.0,22.98,0,0,6.879999999999999,268.0,3,1,26
14867,49.0,7.71,3865.0,3.0,1,1,1,1.0,12.01,0,0,-0.4900000000000002,64.2,9,0,23
18893,35.0,6.8,134588.0,2.0,1,1,1,1.0,16.19,0,1,3.690000000000001,42.0,3,3,14
9119,49.0,6.79,139681.0,3.0,1,0,1,1.0,11.42,0,0,-2.08,48.6,8,6,6
6754,85.0,7.1,71288.0,3.0,0,1,0,3.0,18.1,0,1,5.400000000000002,17.0,9,5,15
6349,85.0,3.4,28245.0,3.0,0,1,1,2.0,14.0,0,1,1.3000000000000007,83.0,10,5,28
20519,35.0,4.7,97088.0,3.0,1,1,1,2.0,11.19,0,0,-1.3100000000000005,42.0,7,2,5
10925,49.0,13.42,56047.0,2.0,1,1,1,1.0,13.74,0,0,0.2400000000000002,97.7,1,5,18
6870,85.0,10.41,58019.0,3.0,0,1,0,2.0,12.1,0,0,-0.5999999999999996,86.0,6,3,7
18270,35.0,6.8,92891.0,3.0,1,1,1,1.0,16.19,0,1,3.690000000000001,42.0,4,4,28
8863,49.0,6.8,187370.0,3.0,1,0,1,1.0,13.55,0,0,0.0500000000000007,50.2,7,4,12
14066,49.0,7.4,42781.0,3.0,1,0,1,1.0,12.4,0,0,-0.0999999999999996,59.0,7,0,5
20076,35.0,7.0,51281.0,3.0,1,1,1,1.0,11.86,1,0,-0.6400000000000006,59.0,8,4,28
6564,85.0,8.97,72237.0,3.0,0,1,0,1.0,13.1,0,0,0.4000000000000003,99.0,9,3,20
8236,49.0,9.38,15072.0,2.0,1,1,1,1.0,13.32,0,0,-0.1799999999999997,70.4,2,6,26
19494,35.0,5.7,29240.0,3.0,1,1,1,1.0,13.57,0,0,1.0700000000000005,42.0,10,2,1
16837,88.0,14.86,25610.0,3.0,1,1,1,2.0,12.65,0,0,2.338644558918237,117.5,2,1,12
20693,35.0,9.1,87699.0,2.0,1,1,1,3.0,20.68,0,1,8.18,44.0,2,2,8
17300,88.0,1.9,7005.0,3.0,0,0,0,2.0,14.76,0,0,2.338644558918237,12.9,2,4,16
12194,85.0,3.7,52088.0,3.0,1,1,1,2.0,18.4,0,0,5.699999999999999,20.0,8,3,3
14821,49.0,2.42,15031.0,2.0,1,0,1,1.0,13.64,0,0,1.1400000000000006,47.7,2,0,24
22877,278.0,3.0,85419.0,2.0,1,0,1,1.0,22.98,0,0,6.879999999999999,36.0,4,4,5
10671,49.0,11.24,106452.0,3.0,1,1,1,1.0,12.1,0,0,-1.4000000000000004,92.9,4,4,8
7794,80.0,24.95,80459.0,3.0,1,0,1,2.0,12.9,0,0,-2.1,19.0,8,1,30
2173,278.0,47.0,100236.0,3.0,1,0,1,1.0,21.53,0,0,5.43,50.0,9,0,9
21453,132.0,4.61,78536.0,1.0,1,1,1,2.0,17.7,0,1,1.099999999999998,88.0,3,0,2
6463,85.0,19.64,28801.0,3.0,0,1,0,2.0,13.7,0,1,1.0,34.0,11,4,3
18255,35.0,5.3,120551.0,3.0,1,1,1,1.0,12.33,0,0,-0.1699999999999999,43.0,7,4,27
14522,49.0,6.39,52538.0,3.0,1,0,1,1.0,13.2,0,0,0.6999999999999993,48.4,11,0,8
18764,35.0,5.7,68431.0,2.0,1,1,1,2.0,13.26,0,0,0.7599999999999998,43.0,4,4,22
16762,88.0,9.74,5297.0,3.0,1,1,1,2.0,15.93,0,0,2.338644558918237,61.2,1,0,15
18755,35.0,6.4,32718.0,2.0,1,1,1,3.0,15.24,0,1,2.74,42.0,11,1,25
