,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
2250,278.0,19.0,114132.0,2.0,1,0,1,1.0,23.95,0,0,7.849999999999998,85.0,3,2,11
17066,88.0,17.37,9212.0,3.0,0,0,0,2.0,13.84,0,0,2.3533633947983073,125.5,4,1,10
1587,278.0,52.0,116925.0,3.0,1,1,1,1.0,20.53,0,0,4.43,228.0,6,5,6
7800,80.0,1.89,45335.0,3.0,0,1,0,1.0,13.3,1,0,-1.6999999999999993,10.0,7,3,9
1652,278.0,36.0,48055.0,2.0,1,1,1,1.0,25.19,0,0,9.09,108.0,1,3,11
19678,35.0,4.6,24713.0,3.0,1,1,1,1.0,10.95,0,0,-1.5500000000000007,42.0,7,1,15
17642,35.0,5.5,180869.0,3.0,1,1,1,1.0,13.1,1,0,0.5999999999999996,42.0,6,1,15
21211,132.0,2.7,103838.0,1.0,1,0,0,1.0,18.52,0,1,1.9199999999999984,12.0,2,3,10
7892,80.0,10.2,63927.0,3.0,1,0,1,2.0,13.13,0,0,-1.8699999999999992,18.0,7,6,11
8412,49.0,5.1,186018.0,3.0,0,0,1,1.0,12.41,0,0,-1.09,41.1,6,5,22
23075,278.0,9.0,63439.0,3.0,1,1,1,1.0,21.88,0,0,5.779999999999998,170.0,7,0,9
17855,35.0,6.8,55556.0,2.0,1,1,1,1.0,16.19,0,0,3.690000000000001,42.0,10,0,26
9864,49.0,2.09,75016.0,3.0,1,1,1,1.0,12.69,0,0,-0.8100000000000005,49.5,11,4,7
7645,80.0,14.74,13434.0,2.0,0,1,1,1.0,16.58,0,0,1.5799999999999983,117.0,4,6,28
14469,49.0,8.1,73238.0,3.0,1,1,1,1.0,14.04,1,1,1.5399999999999991,90.7,10,0,3
7431,85.0,8.4,33815.0,2.0,0,1,0,2.0,17.1,0,1,4.400000000000002,81.0,12,5,16
9453,49.0,6.4,171890.0,3.0,1,0,1,1.0,13.09,0,0,-0.4100000000000001,48.9,10,4,26
6209,85.0,8.33,79510.0,2.0,0,0,1,1.0,14.6,0,0,1.9000000000000004,70.0,12,6,2
23257,278.0,35.0,123573.0,3.0,0,1,0,1.0,22.03,0,0,5.93,149.0,9,5,26
6870,85.0,18.7,26068.0,3.0,0,1,1,1.0,14.1,0,0,1.4000000000000004,41.0,10,3,12
11011,49.0,13.05,94282.0,3.0,0,1,1,1.0,12.21,0,0,-1.2899999999999991,87.1,9,6,13
1856,278.0,31.0,151683.0,3.0,1,0,1,1.0,15.874846788661532,0,0,2.3533633947983073,129.0,9,4,16
14422,49.0,5.2,41304.0,3.0,1,0,1,1.0,10.9,0,0,-1.5999999999999996,47.7,6,2,9
17752,35.0,6.0,148149.0,3.0,1,1,1,1.0,13.95,0,0,1.4499999999999993,43.0,10,1,22
7008,85.0,8.74,43592.0,2.0,0,1,0,1.0,28.7,0,1,16.0,1.0,2,4,23
17223,88.0,5.71,22505.0,3.0,1,0,0,2.0,11.83,0,0,2.3533633947983073,48.3,12,2,19
11470,85.0,3.7,52088.0,3.0,1,1,1,2.0,18.4,0,0,5.699999999999999,20.0,8,3,3
6328,85.0,4.18,94175.0,3.0,0,0,1,2.0,13.3,0,0,0.6000000000000014,93.0,5,2,22
2091,278.0,8.0,124047.0,3.0,1,0,1,1.0,22.03,0,0,5.93,52.0,10,1,6
8555,49.0,14.86,85048.0,3.0,1,1,1,1.0,11.67,0,0,-1.83,127.3,5,5,9
16604,88.0,13.59,7061.0,3.0,1,1,0,2.0,15.08,0,0,2.3533633947983073,90.1,2,5,17
7213,85.0,4.55,59960.0,3.0,1,0,0,2.0,10.2,0,0,-2.5,3.0,6,3,21
21133,132.0,5.0,77570.0,1.0,1,0,1,2.0,12.82,0,0,-3.780000000000001,39.0,2,3,13
15089,49.0,7.59,25918.0,3.0,1,0,1,1.0,12.11,0,0,-0.3900000000000005,47.5,8,0,17
7274,85.0,14.8,112326.0,3.0,0,1,1,1.0,20.5,0,1,7.800000000000001,42.0,9,1,17
21767,132.0,27.53,81706.0,3.0,0,1,0,2.0,13.1,0,0,-3.5000000000000018,223.0,9,1,15
14443,49.0,12.15,69016.0,3.0,0,1,1,3.0,14.34,1,0,1.84,65.4,8,5,13
22227,278.0,31.0,142491.0,2.0,0,0,1,1.0,28.34,0,0,12.239999999999998,67.0,2,3,17
23335,278.0,34.0,26588.0,2.0,0,1,1,1.0,26.77,0,0,10.669999999999998,127.0,3,4,10
22742,278.0,28.0,103225.0,3.0,1,0,1,1.0,20.21,0,0,4.109999999999999,139.0,10,3,17
20886,132.0,14.83,83213.0,3.0,1,0,1,2.0,22.47,0,1,5.869999999999997,66.0,10,3,15
6413,85.0,13.4,112422.0,3.0,0,1,1,2.0,14.5,0,0,1.8000000000000007,96.0,9,2,18
20291,35.0,13.0,113344.0,3.0,1,1,1,1.0,13.83,0,0,1.33,94.0,4,3,19
17665,35.0,5.9,136519.0,3.0,1,1,1,1.0,14.39,0,1,1.8900000000000008,41.0,4,1,9
16990,88.0,5.1,9801.0,3.0,1,0,0,2.0,12.19,0,0,2.3533633947983073,41.8,4,6,22
22437,278.0,3.0,85419.0,2.0,1,0,1,1.0,22.98,0,0,6.879999999999999,36.0,4,4,5
10840,49.0,1.9,188060.0,3.0,1,0,1,1.0,11.96,0,0,-1.5399999999999991,48.1,7,3,25
20915,132.0,12.6,62164.0,3.0,1,1,1,3.0,14.65,0,0,-1.950000000000001,34.0,5,2,29
14705,49.0,5.81,2660.0,3.0,0,1,0,1.0,12.09,0,0,-0.4100000000000001,56.1,9,4,13
17957,35.0,15.4,61477.0,2.0,1,1,1,3.0,22.65,0,1,10.15,68.0,1,5,16
16973,88.0,4.0,7682.0,3.0,0,0,0,2.0,17.75,0,0,2.3533633947983073,22.5,3,6,4
2195,278.0,19.0,39905.0,3.0,1,0,1,1.0,23.06,0,0,6.959999999999997,82.0,9,3,14
9387,49.0,4.2,153504.0,2.0,1,1,1,1.0,11.86,0,0,-1.6400000000000006,82.3,3,5,31
16741,88.0,2.76,35521.0,3.0,1,0,0,2.0,10.72,0,0,2.3533633947983073,25.8,9,6,8
14634,49.0,5.29,24664.0,3.0,0,1,1,3.0,11.82,0,0,-0.6799999999999997,54.0,7,5,25
7789,80.0,4.02,77960.0,3.0,1,0,1,2.0,15.85,0,0,0.8499999999999996,31.0,7,3,7
21493,132.0,27.4,47205.0,3.0,1,1,1,2.0,14.4,0,0,-2.200000000000001,118.0,9,6,16
19156,35.0,5.9,48123.0,3.0,1,1,1,1.0,14.05,1,0,1.5500000000000007,42.0,7,5,4
22259,278.0,4.0,102572.0,3.0,1,0,0,1.0,19.37,0,0,3.27,10.0,9,0,30
21633,132.0,1.8,86869.0,1.0,1,0,1,1.0,20.78,0,1,4.18,78.0,2,0,1
21397,132.0,3.6,105836.0,3.0,1,0,0,1.0,24.0,0,0,7.399999999999999,15.0,5,1,3
12589,85.0,29.4,87955.0,2.0,0,1,0,2.0,15.0,0,0,2.3000000000000007,196.0,2,5,23
16619,88.0,1.17,46613.0,3.0,1,0,0,2.0,10.38,0,0,2.3533633947983073,11.3,5,1,19
8781,49.0,7.7,124548.0,2.0,1,0,1,1.0,14.29,0,0,0.7899999999999991,53.9,1,3,12
22424,278.0,1.0,19861.0,2.0,1,0,0,1.0,20.0,0,0,3.899999999999999,5.0,12,1,6
